"","x"
"1",31.646910130035
"2",27.6943742396452
"3",32.7069010763359
"4",26.3935079937694
"5",11.4202001985419
"6",47.6949747940046
"7",89.9134875045579
"8",39.9176586776601
"9",19.0475868367243
"10",70.3014646212071
"11",27.5900561944718
"12",78.4845936970109
"13",34.9784438118682
"14",43.3784594261832
"15",33.6576256459192
"16",40.5667531769979
"17",31.3374771614228
"18",33.7787666808449
"19",65.3639398059046
"20",52.7406108643416
"21",30.6176506656934
"22",45.9282262827372
"23",53.8100181265735
"24",43.9460730069437
"25",9.75109313163287
"26",25.8419272314674
"27",38.2834084630367
"28",47.8941424537313
"29",18.5856680780048
"30",36.52497883985
"31",19.2107421014696
"32",19.7725450583117
"33",57.2594856386916
"34",22.9380978184214
"35",14.5798832745656
"36",35.231339654259
"37",86.9344195774092
"38",10.0325710402898
"39",28.8327097692337
"40",51.4951386137958
"41",44.0628883895196
"42",50.6153162707829
"43",53.0294587772404
"44",55.8591019988396
"45",37.5562538721466
"46",36.980382961112
"47",46.1845646213141
"48",42.8456326525862
"49",73.2473359869244
"50",21.747811122443
