"","x"
"1",35.4288203757334
"2",21.2404781078099
"3",36.4493177459224
"4",19.2107421014696
"5",56.910082049035
"6",45.5829342435299
"7",58.651667326327
"8",26.4631432963267
"9",31.7428983966393
"10",56.1894934846819
"11",119.408104361542
"12",51.0106014586413
"13",30.1118562980934
"14",49.7118642008784
"15",58.7688056176613
"16",56.0745053235387
"17",17.61667572902
"18",93.0662183167041
"19",13.9976756535951
"20",44.2518064886381
"21",23.6663980622306
"22",23.7113177688262
"23",22.0672304041469
"24",102.68686139681
"25",48.7557832329543
"26",19.0475868367243
"27",23.884241982742
"28",48.2716588803619
"29",53.9524730221708
"30",58.8286670092831
"31",33.8296705621453
"32",71.674774790423
"33",23.7892847226669
"34",44.7417677750117
"35",32.5320217965871
"36",45.1537692890912
"37",87.4767636632998
"38",16.7150381766431
"39",46.0987348995025
"40",50.2134655029813
"41",25.8860969780392
"42",22.2215596894758
"43",30.6332720972653
"44",43.3367989978244
"45",36.5137380152899
"46",34.2149101901111
"47",34.1771125274987
"48",81.7258053989261
"49",24.5022273209244
"50",20.468775752491
"51",85.5969270725125
"52",50.912519655731
"53",45.1577910805174
"54",57.3447448168263
"55",23.4246095604025
"56",31.1157819366277
"57",63.592607097269
"58",39.273741004858
"59",23.6111866869491
"60",68.6466969107633
"61",29.7646987314032
"62",38.744239254615
"63",38.8854677343993
"64",51.5695738988033
"65",97.4104759230601
"66",50.0545789415958
"67",24.6146231445173
"68",63.0323077279511
"69",28.2318107209991
"70",58.365221688213
"71",20.994437550247
"72",59.7317870224328
"73",42.378653749575
"74",41.1644298261747
"75",45.1169193841446
"76",47.3569542265422
"77",16.1095490314471
"78",30.4759821287125
"79",39.3823697637424
"80",78.5217443803471
"81",40.9308079508566
"82",44.1471475021954
"83",17.3410591031894
"84",124.166812531801
"85",35.7476945192488
"86",105.795289787039
"87",50.6153162707829
"88",41.9804743216371
"89",52.0447280438997
"90",20.9335601534907
"91",50.7155299438122
"92",42.2242637022324
"93",28.7128185441741
"94",22.2419669186782
"95",73.3817344274228
"96",46.5082169427183
"97",38.8634639763632
"98",19.7604875107361
"99",17.1969279565958
"100",29.3606572923342
"101",50.9330055200235
"102",52.2948072543991
"103",37.3367833398904
"104",52.5879004861418
"105",19.1976828469014
"106",86.1745609792805
"107",43.3633262025503
"108",24.0210569518893
"109",67.540717573015
"110",36.8502822273209
"111",77.3286397927391
"112",45.0219214668811
"113",21.5934774581817
"114",28.2945053850596
"115",52.4560473619833
"116",27.5447298596476
"117",33.5504279350255
"118",99.9725751068884
"119",10.0325710402898
"120",37.7220437953988
"121",43.0013795735134
"122",32.544607825012
"123",27.8460839681205
"124",22.3350713250566
"125",54.4047814336867
"126",26.1539984690154
"127",77.2903528644507
"128",33.9830275018333
"129",69.5409658760647
"130",29.3550509573924
"131",16.9496557098813
"132",39.1913421489158
"133",52.6061745506222
"134",91.8881391271768
"135",66.0751502497427
"136",35.7106137164193
"137",114.927093268282
"138",25.0649940961927
"139",35.6257010400812
"140",67.4578585294611
"141",118.288474814533
"142",43.8808266656321
"143",60.4122846153086
"144",39.4787788842113
"145",39.3205352506178
"146",40.9843073986412
"147",44.5906636668267
"148",74.4317181261838
"149",145.802209594252
"150",55.1706958154359
"151",22.7680802298478
"152",28.5611116546749
"153",28.810923903959
"154",51.0686055590733
"155",13.4235364062336
"156",43.6478807309067
"157",14.3496499229401
"158",50.1642929532575
"159",31.927637148109
"160",40.7696401907419
"161",59.0378348022892
"162",34.2281000117972
"163",101.898718548534
"164",56.9418699478642
"165",20.8916008188428
"166",53.4010258013377
"167",51.6870539432675
"168",34.9784438118682
"169",45.6486291745071
"170",24.4249962369818
"171",11.4202001985419
"172",51.3131593246672
"173",69.73602825519
"174",48.6472439377001
"175",31.6761382560457
"176",28.7608633016178
"177",49.0175441371346
"178",35.2399515103064
"179",49.4604199549585
"180",27.202143707948
"181",33.7787666808449
"182",48.40712719513
"183",33.3938835272171
"184",22.9380978184214
"185",31.1986853575833
"186",26.3567135567928
"187",60.2606341792604
"188",13.5318289947126
"189",26.8884959960762
"190",31.175820423197
"191",27.0730084695702
"192",19.9738181111244
"193",25.4861862716038
"194",196.001849435014
"195",20.0616128567858
"196",20.1264852013455
"197",15.4329883314247
"198",116.860676402573
"199",54.6593356256714
"200",27.4453119034568
"201",36.7593112053464
"202",59.5320682438867
"203",46.6488756408598
"204",41.0343485388129
"205",72.715278404567
"206",48.1948808402494
"207",33.928091275011
"208",17.3380839653666
"209",68.0324423430001
"210",64.5799903152346
"211",89.1215059537968
"212",14.5372685457131
"213",49.3325998201592
"214",71.2718806033976
"215",24.898663278619
"216",35.4898412873593
"217",52.4486215432418
"218",14.5798832745656
"219",21.4416617142229
"220",30.0915413685149
"221",16.8355655225645
"222",84.6926951861634
"223",88.1796049383392
"224",40.1032080763365
"225",31.7690452038802
"226",82.6884110750972
"227",19.4082659393589
"228",26.1075727770078
"229",37.5262168082062
"230",57.8407289610027
"231",17.4322423491722
"232",40.1078876792333
"233",38.9694996741856
"234",24.2617116974899
"235",41.3222300432915
"236",32.0640478700432
"237",41.2339180315844
"238",31.6259156113884
"239",55.9211430967584
"240",36.9829148404133
"241",52.323955836016
"242",15.8467352184249
"243",20.1518730194029
"244",53.0294587772404
"245",57.4331699500438
"246",26.8783373776571
"247",28.1019175127415
"248",25.6411643826918
"249",35.2679969627967
"250",27.4374547873553
